Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Noah Cates,PHI,L,Yellow,87.75510204081633,73.58943577430972,,0.0259024341646465,,67.0,75.0,77.0,,,,COOL,COOL,COOL
Noah Cates,PHI,L,Yellow,87.75510204081633,73.58943577430972,,0.0,,67.0,75.0,77.0,,,,COOL,COOL,COOL
Noah Cates,PHI,L,Yellow,87.75510204081633,73.58943577430972,,0.07165605095541401,,67.0,75.0,77.0,,,,COOL,COOL,COOL
Alexander Petrovic,DAL,D,Red,36.97478991596639,53.96158463385354,,0.01482172755468943,,53.0,42.0,41.0,,,,COOL,COOL,COOL
Alexander Petrovic,DAL,D,Red,36.97478991596639,53.96158463385354,,0.0,,53.0,42.0,41.0,,,,COOL,COOL,COOL
Alexander Petrovic,DAL,D,Red,36.97478991596639,53.96158463385354,,0.0,,53.0,42.0,41.0,,,,COOL,COOL,COOL
Connor Bedard,CHI,C,Yellow,92.07683073229292,96.33853541416568,,0.04936396430605658,,83.0,77.0,80.0,,,,COOL,COOL,COOL
Connor Bedard,CHI,C,Yellow,92.07683073229292,96.33853541416568,,0.0,,83.0,77.0,80.0,,,,COOL,COOL,COOL
Connor Bedard,CHI,C,Yellow,92.07683073229292,96.33853541416568,,0.12647110486562446,,83.0,77.0,80.0,,,,COOL,COOL,COOL
Jared McCann,SEA,L,Red,61.88475390156063,36.97478991596639,,0.026934817741066618,,41.0,58.0,59.0,,,,COOL,COOL,COOL
Jared McCann,SEA,L,Red,61.88475390156063,36.97478991596639,,0.0,,41.0,58.0,59.0,,,,COOL,COOL,COOL
Jared McCann,SEA,L,Red,61.88475390156063,36.97478991596639,,0.07114624505928854,,41.0,58.0,59.0,,,,COOL,COOL,COOL
Aatu Raty,VAN,C,Red,53.06122448979592,59.06362545018007,,0.030799384012319752,,57.0,52.0,52.0,,,,COOL,COOL,COOL
Aatu Raty,VAN,C,Red,53.06122448979592,59.06362545018007,,0.0,,57.0,52.0,52.0,,,,COOL,COOL,COOL
Aatu Raty,VAN,C,Red,53.06122448979592,59.06362545018007,,0.0,,57.0,52.0,52.0,,,,COOL,COOL,COOL
Dalibor Dvorsky,STL,R,Red,59.5438175270108,31.392557022809125,,0.010184595798854232,,37.0,56.0,57.0,,,,COOL,COOL,COOL
Dalibor Dvorsky,STL,R,Red,59.5438175270108,31.392557022809125,,0.0,,37.0,56.0,57.0,,,,COOL,COOL,COOL
Dalibor Dvorsky,STL,R,Red,59.5438175270108,31.392557022809125,,0.07633587786259542,,37.0,56.0,57.0,,,,COOL,COOL,COOL
Zayne Parekh,CGY,D,Red,16.926770708283314,19.08763505402161,,0.0,,28.0,29.0,26.0,,,,COOL,COOL,COOL
Zayne Parekh,CGY,D,Red,16.926770708283314,19.08763505402161,,0.0,,28.0,29.0,26.0,,,,COOL,COOL,COOL
Zayne Parekh,CGY,D,Red,16.926770708283314,19.08763505402161,,0.037336652146857496,,28.0,29.0,26.0,,,,COOL,COOL,COOL
Mike Matheson,MTL,D,Red,55.10204081632652,79.59183673469387,,0.01863932898415657,,71.0,53.0,54.0,,,,COOL,COOL,COOL
Mike Matheson,MTL,D,Red,55.10204081632652,79.59183673469387,,0.0,,71.0,53.0,54.0,,,,COOL,COOL,COOL
Mike Matheson,MTL,D,Red,55.10204081632652,79.59183673469387,,0.0,,71.0,53.0,54.0,,,,COOL,COOL,COOL
Eric Robinson,CAR,L,Yellow,67.58703481392557,36.97478991596639,,0.03143830233167409,,41.0,61.0,63.0,,,,COOL,COOL,COOL
Eric Robinson,CAR,L,Yellow,67.58703481392557,36.97478991596639,,0.024650780608052588,,41.0,61.0,63.0,,,,COOL,COOL,COOL
Eric Robinson,CAR,L,Yellow,67.58703481392557,36.97478991596639,,0.0,,41.0,61.0,63.0,,,,COOL,COOL,COOL
Gavin Brindley,COL,C,Red,56.00240096038416,36.97478991596639,,0.03169362826015187,,41.0,54.0,54.0,,,,COOL,COOL,COOL
Gavin Brindley,COL,C,Red,56.00240096038416,36.97478991596639,,0.0,,41.0,54.0,54.0,,,,COOL,COOL,COOL
Gavin Brindley,COL,C,Red,56.00240096038416,36.97478991596639,,0.0,,41.0,54.0,54.0,,,,COOL,COOL,COOL
Sean Monahan,CBJ,C,Yellow,75.1500600240096,79.59183673469387,,0.016338756892913066,,71.0,66.0,68.0,,,,COOL,COOL,COOL
Sean Monahan,CBJ,C,Yellow,75.1500600240096,79.59183673469387,,0.0,,71.0,66.0,68.0,,,,COOL,COOL,COOL
Sean Monahan,CBJ,C,Yellow,75.1500600240096,79.59183673469387,,0.06324666198172874,,71.0,66.0,68.0,,,,COOL,COOL,COOL
Justin Hryckowian,DAL,C,Yellow,67.22689075630252,53.96158463385354,,0.027369141293191925,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Justin Hryckowian,DAL,C,Yellow,67.22689075630252,53.96158463385354,,0.0,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Justin Hryckowian,DAL,C,Yellow,67.22689075630252,53.96158463385354,,0.18575851393188855,,53.0,61.0,62.0,,,,COOL,COOL,COOL
Sam Poulin,PIT,R,Red,8.16326530612245,7.322929171668667,,0.0,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Sam Poulin,PIT,R,Red,8.16326530612245,7.322929171668667,,0.0,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Sam Poulin,PIT,R,Red,8.16326530612245,7.322929171668667,,,,19.0,23.0,20.0,,,,COOL,COOL,COOL
Connor Zary,CGY,C,Yellow,76.05042016806722,53.96158463385354,,0.019425857975393913,,53.0,67.0,69.0,,,,COOL,COOL,COOL
Connor Zary,CGY,C,Yellow,76.05042016806722,53.96158463385354,,0.0,,53.0,67.0,69.0,,,,COOL,COOL,COOL
Connor Zary,CGY,C,Yellow,76.05042016806722,53.96158463385354,,0.015706806282722512,,53.0,67.0,69.0,,,,COOL,COOL,COOL
Simon Holmstrom,NYI,R,Yellow,69.86794717887155,67.52701080432173,,0.023618172871904215,,63.0,63.0,64.0,,,,COOL,COOL,COOL
Simon Holmstrom,NYI,R,Yellow,69.86794717887155,67.52701080432173,,0.02432596797080884,,63.0,63.0,64.0,,,,COOL,COOL,COOL
Simon Holmstrom,NYI,R,Yellow,69.86794717887155,67.52701080432173,,0.02531645569620253,,63.0,63.0,64.0,,,,COOL,COOL,COOL
Ethan Del Mastro,CHI,D,Red,3.7815126050420167,7.322929171668667,,0.0,,19.0,20.0,17.0,,,,COOL,COOL,COOL
Ethan Del Mastro,CHI,D,Red,3.7815126050420167,7.322929171668667,,0.0,,19.0,20.0,17.0,,,,COOL,COOL,COOL
Ethan Del Mastro,CHI,D,Red,3.7815126050420167,7.322929171668667,,0.0,,19.0,20.0,17.0,,,,COOL,COOL,COOL
Curtis Douglas,TBL,C,Red,33.55342136854742,26.290516206482593,,0.012427506213753107,,33.0,39.0,38.0,,,,COOL,COOL,COOL
Curtis Douglas,TBL,C,Red,33.55342136854742,26.290516206482593,,0.0,,33.0,39.0,38.0,,,,COOL,COOL,COOL
Curtis Douglas,TBL,C,Red,33.55342136854742,26.290516206482593,,0.0,,33.0,39.0,38.0,,,,COOL,COOL,COOL
Dakota Joshua,TOR,C,Red,60.86434573829532,36.97478991596639,,0.02207505518763797,,41.0,57.0,58.0,,,,COOL,COOL,COOL
Dakota Joshua,TOR,C,Red,60.86434573829532,36.97478991596639,,0.0,,41.0,57.0,58.0,,,,COOL,COOL,COOL
Dakota Joshua,TOR,C,Red,60.86434573829532,36.97478991596639,,0.0,,41.0,57.0,58.0,,,,COOL,COOL,COOL
Jacob Bryson,BUF,D,Red,18.007202881152462,31.392557022809125,,0.016081479496113642,,37.0,29.0,27.0,,,,COOL,COOL,COOL
Jacob Bryson,BUF,D,Red,18.007202881152462,31.392557022809125,,0.0,,37.0,29.0,27.0,,,,COOL,COOL,COOL
Jacob Bryson,BUF,D,Red,18.007202881152462,31.392557022809125,,0.0,,37.0,29.0,27.0,,,,COOL,COOL,COOL
Aliaksei Protas,WSH,C,Yellow,90.63625450180072,82.47298919567827,,0.03773997702784007,,73.0,76.0,79.0,,,,COOL,COOL,COOL
Aliaksei Protas,WSH,C,Yellow,90.63625450180072,82.47298919567827,,0.013745704467353952,,73.0,76.0,79.0,,,,COOL,COOL,COOL
Aliaksei Protas,WSH,C,Yellow,90.63625450180072,82.47298919567827,,0.03880983182406209,,73.0,76.0,79.0,,,,COOL,COOL,COOL
Kevin Hayes,PIT,R,Red,50.60024009603842,26.290516206482593,,0.020683949255377827,,33.0,50.0,50.0,,,,COOL,COOL,COOL
Kevin Hayes,PIT,R,Red,50.60024009603842,26.290516206482593,,0.0,,33.0,50.0,50.0,,,,COOL,COOL,COOL
Kevin Hayes,PIT,R,Red,50.60024009603842,26.290516206482593,,0.0,,33.0,50.0,50.0,,,,COOL,COOL,COOL
Fabian Zetterlund,OTT,L,Yellow,81.87274909963985,59.06362545018007,,0.025214158719896556,,57.0,71.0,73.0,,,,COOL,COOL,COOL
Fabian Zetterlund,OTT,L,Yellow,81.87274909963985,59.06362545018007,,0.0,,57.0,71.0,73.0,,,,COOL,COOL,COOL
