Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,Med10_SOG,Trim10_SOG,Avg5_SOG,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result
2026-01-05,MIN@LAK,Joel Eriksson Ek,MIN,C,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,92.4,92.7,2.5,2.625,2.8,9.0,4.0,27.0,2.0,3.0,1.7357762777242045,,,3.165239094673549,,,,50.0,67.5,50.0,7.93,3.04,26.25,-1.07,-0.96,-0.75,COOL,COOL,COOL,Green,Red,Yellow,70,70,70,POINTS,70,,,
2026-01-05,UTA@NYR,Will Cuylle,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,91.2,76.5,1.0,1.375,2.0,5.0,1.0,15.0,1.0,2.0,1.1547882888137175,,,1.5747113029277966,,,,50.0,48.9,50.0,5.89,2.86,13.75,0.89,1.86,-1.25,COOL,WARM,COOL,Yellow,Red,Yellow,62,65,69,GOAL,69,,,
2026-01-05,SEA@CGY,Matty Beniers,SEA,C,CGY,Dustin Wolf,0.900355871886121,2.8630941109638326,45.7,85.5,86.9,2.5,2.25,1.8,6.0,2.0,22.0,2.0,2.0,1.3961992354147044,,,1.8948418194913845,,,,50.0,54.9,50.0,6.91,2.55,22.5,0.91,0.55,0.5,COOL,COOL,COOL,Yellow,Red,Yellow,68,69,69,SOG,69,,,
2026-01-05,SEA@CGY,Rasmus Andersson,CGY,D,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,73.5,88.4,2.5,2.5,1.8,6.0,2.0,26.0,2.0,0.0,1.4054426455390976,,,2.97623148467103,,,,50.0,63.3,50.0,6.18,1.79,25.0,0.18,-0.21,-1.0,COOL,COOL,COOL,Green,Red,Red,69,62,61,POINTS,69,,,
2026-01-05,ANA@WSH,Ryan Leonard,WSH,R,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,78.6,82.5,2.0,2.0,1.8,11.0,3.0,22.0,1.0,2.0,2.363367799113737,,,2.806499261447563,,,,50.0,68.6,50.0,6.67,2.38,20.0,-4.33,-0.62,-2.0,COOL,COOL,COOL,Green,Red,Red,68,66,64,POINTS,68,,,
2026-01-05,UTA@NYR,Mikhail Sergachev,UTA,D,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,57.4,94.4,2.0,1.875,2.0,9.0,2.0,19.0,2.0,4.0,1.0733698768376871,,,2.0641728400724753,,,,50.0,51.9,50.0,6.5,1.03,18.75,-2.5,-0.97,-0.25,COOL,COOL,COOL,Yellow,Red,Red,68,48,49,POINTS,68,,,
2026-01-05,MIN@LAK,Alex Laferriere,LAK,R,MIN,Filip Gustavsson,0.9122085048010974,2.4518202424152133,17.8,82.7,63.7,2.5,2.75,4.0,6.0,3.0,32.0,3.0,1.0,1.8132023798281236,,,2.2665029747851544,,,,50.0,61.6,50.0,4.54,2.29,27.5,-1.46,-0.71,-4.5,COOL,COOL,COOL,Red,Red,Red,53,65,68,GOAL,68,,,
2026-01-05,UTA@NYR,Alexis Lafrenire,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,85.8,82.5,2.0,1.5,2.8,6.0,1.0,18.0,1.0,4.0,1.419819630321037,,,2.5556753345778667,,,,50.0,59.8,50.0,5.83,2.34,15.0,-0.17,1.34,-3.0,COOL,WARM,COOL,Green,Red,Yellow,65,67,66,SOG,67,,,
2026-01-05,UTA@NYR,Vincent Trocheck,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,73.1,82.5,2.0,2.25,1.8,9.0,4.0,22.0,3.0,4.0,1.9949019173223983,,,2.925856145406184,,,,50.0,68.3,50.0,7.67,2.5,22.5,-1.33,-1.5,0.5,COOL,COOL,COOL,Green,Red,Red,67,60,66,POINTS,67,,,
2026-01-05,SEA@CGY,Yegor Sharangovich,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,78.9,43.0,3.0,2.5,2.6,2.0,2.0,25.0,2.0,0.0,1.2914334911752046,,,2.324580284115368,,,,50.0,56.3,50.0,3.62,2.26,25.0,1.62,0.26,0.0,WARM,COOL,COOL,Red,Yellow,Red,46,67,64,SOG,67,,,
